Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,432600.25,427945.78,425976.87,424487.59,424841.5,425104.05,421944.61,422775.97,423477.59,423147.02,421352.21,420933.12,417452.98,415715.05,414810.96,416780.19,416013.48,419498.72,433934.39,439664.8,441350.53,438269.29,442534.54,454800.86,452876.62,448569.16
2,719523.54,718396.1,719703.1,723028.23,725330.82,726741.69,728457.36,730328.49,732884.44,732377.7,731077.08,728785.13,727307.15,725551.28,723389.96,722423.97,721888.31,720017.41,714848.88,714561.57,717448.67,719498.95,721479.46,720288.58,724596.69,727594.92
3,806419.84,807439.76,808521.48,809800.3,810762.46,812463.95,812739.91,813994.16,815198.81,814885.79,814759.83,815270.61,813724.35,813106.76,813691.95,807224.98,807053.4,806540.44,810580.54,813827.79,814747.63,815596.96,814844.75,817913.25,815900.75,814363
4,111631.31,111741.46,111846.41,111832.93,111827.02,111670.4,111660.59,111571.8,111591.5,111461.39,111443.84,111569.52,111602.15,112019.74,111888.62,114994.94,115015.56,114720.83,115196.14,114978.11,115016.82,113539.25,113301.92,112642.06,113045.56,112544.14
5,823852.18,824646.52,825235.53,825769.15,825797.46,825515.16,826330.44,826265.75,827093.12,827762.01,829022,830318.15,833438.97,834703.16,834675.17,835791.42,835327.36,834527.22,830840.28,829638.84,830408.82,832420.81,833547.63,826009.63,825160.9,826024.02
6,1193064.64,1196970.61,1196399.39,1193764.36,1190908.34,1188545.78,1189167.08,1186670.38,1183385.69,1184590.22,1187085.71,1188197.88,1191780.86,1194135.92,1196286.05,1196444.8,1198586.69,1194251.09,1184344.27,1178621.04,1174574.69,1174454.22,1169180.59,1166180.6,1167613.23,1170086.88
7,169118.5,169070.1,168527.56,167527.77,166742.74,166169.3,165910.36,164603.78,162579.2,161986.2,161469.68,161135.84,160903.89,160978.43,161467.63,162550.04,162325.54,166654.64,166465.84,164918.19,162663.17,162430.86,161321.45,158375.37,157016.58,157028.23
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,49830.51,49564.55,49481.61,49435.29,49492.9,49558.74,49377.72,49470,49561.79,49523.27,49407.28,49402.3,49143.14,49041.01,48995.14,49086.42,49034.88,49200.3,50239.81,50694,50841.72,50588.3,50836.52,51714.23,51551.81,51194.62
2,58107.2,58132.6,58195.3,58312.87,58371.21,58381.66,58488.21,58526.11,58608.74,58613.49,58617.11,58558.83,58626.94,58628.91,58556.51,58679.46,58675.95,58512.67,58037.15,57882.52,57964.9,58051.08,58085.57,57755.37,57974.09,58160.82
3,69720.3,69752.6,69761.95,69753.01,69755.74,69805.8,69780.48,69809.78,69827.09,69827.66,69842.07,69897.72,69854.76,69846.81,69906.17,69589.92,69591.98,69597.41,69871.57,70040.21,70046.37,70071.25,70047.25,70305.02,70137.25,70010.55
4,30520.3,30532.19,30533.6,30507.89,30490.56,30444.75,30435.24,30406.88,30395.42,30380.97,30385.25,30406.9,30429.77,30510.1,30490.52,31076.4,31088.58,31019.89,31082.06,31022.81,31019.6,30738.55,30699.67,30612.72,30695.7,30611.4
5,62986.05,62936.31,62992.68,63116.18,63210.73,63284.52,63328.59,63418.44,63560.32,63554.94,63535.27,63527.79,63527.06,63492.99,63433.87,63343.77,63290.61,63267.98,63281.08,63383.43,63536.1,63644.62,63795.4,63707.94,63705.27,63713.06
6,65079.77,65217.44,65253.64,65263.15,65241.77,65245.13,65301,65294.92,65270.55,65282,65325.18,65327.83,65343.72,65368.04,65417.37,65248.35,65309.86,65109.65,64855.15,64774.16,64721,64733.44,64560.36,64603.68,64678.82,64743.94
7,19953.74,19976.32,19968.98,19940.64,19911.4,19900.9,19906.87,19846.15,19748.76,19709.07,19681.26,19667.57,19651.34,19653.91,19686.04,19675.06,19656.24,19901.41,19872.03,19795.48,19676.77,19693.46,19614.9,19396.59,19303.1,19306.69
