Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,392514.32,388418.81,386645.97,384866.92,384465.53,383360.59,380350.77,381376.46,381806.62,378737.8,375694.94,371736.52,368734.02,367618.15,367310.53,368643.47,367726.33,369867.92,368690.63,367461.27,366376.77,364929.26,364450.26,365620.13,365047.78,364693.23
2,658150.99,657317.68,658740.26,662173.09,664601.19,666093.8,667502.42,669022.42,671328.47,671416.69,670215.87,668012.55,666075.55,663865.52,661386.07,659982.71,659218.19,656545.6,655824.65,654250.04,654936.7,654933.25,655677.09,654588.27,656044.56,655775.84
3,736921.63,737752.05,738590.28,739450.21,740203.13,741326.97,741617.43,742819.03,743890.71,743660.66,743293.45,742475.34,740880.56,740454.07,741074.66,734916.53,734701.65,733737.1,734182.59,735307.97,735275.67,736276.45,735744.24,736719.87,734245.61,733455.19
4,99651.86,99755.83,99845.88,99826.56,99720.31,99594.23,99578.06,99463.2,99485.86,99357.15,99272.7,99172.51,99190.82,99544.04,99457.25,102448.05,102490.53,102377.64,102491.37,102429.64,102370.21,100884.91,100598.29,99558.75,99986.18,99709.74
5,737219.43,737690.5,738014.37,738260.13,738202.61,738354.94,738994.06,738778.37,739437.73,740414.77,741872.6,743599.81,746101.89,746923.33,746143.52,746976.07,746429.62,745225.1,744916.41,745068.16,746952.32,748119.27,749379.11,747507.71,747137.75,747199.97
6,1058132.73,1061816.08,1061551.76,1059815.29,1058006.65,1057018.51,1057974.89,1055745.06,1053026.55,1055722.81,1059064.17,1064125.58,1068183.98,1070481.57,1073087.67,1074427.91,1076934.81,1075190.11,1075438.66,1077307.67,1077571,1078456.14,1078600.61,1082537.63,1084866.26,1086330.66
7,154122.98,153963.09,153325.53,152321.83,151514.61,150965.01,150696.4,149509.49,147738.1,147404.16,147300.31,147591.73,147547.21,147827.37,148254.34,149319.3,149212.91,153770.58,155169.73,154889.31,153231.37,153114.75,152264.44,150181.67,149385.9,149549.42
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,45356.77,45126.14,45051.69,44979.3,44981.61,44951.14,44784.66,44886.94,44960.28,44764.43,44566.6,44298.86,44067.6,44005.09,43998.19,44033.05,43974.2,44041.63,43997.7,43962.57,43901.52,43759.58,43698.22,43729.77,43636.57,43570.79
2,52380.61,52402.93,52472.1,52611.1,52693.41,52746,52839.68,52867.09,52949.8,53008.26,53026.38,53029.81,53058.8,53018.83,52916.34,53014.45,53003.52,52839.51,52809.04,52759.77,52834.56,52822.02,52880.03,52798.26,52911.26,52917.79
3,63108.54,63133.46,63138.3,63118.57,63117.43,63144.6,63129.3,63168.65,63188.81,63174.57,63173.45,63168.11,63126.99,63134.22,63200.28,62886.78,62890.08,62876.99,62899.68,62975.32,62971.48,63049.21,63025.41,63114.58,62982.47,62960.7
4,27212.55,27224.13,27227.95,27209.56,27181.15,27147.16,27138.85,27109.38,27102.21,27084.64,27077.46,27075.36,27098.67,27166.44,27156.91,27719.01,27736.45,27708.29,27722.47,27710.88,27703.31,27436.92,27392.94,27237.03,27335.64,27301.53
5,57147,57094.3,57142.2,57248.61,57331.63,57395.65,57428.1,57508.42,57634.67,57622.3,57587.85,57511.96,57469.87,57413.24,57318.82,57185.73,57119.92,57022.34,56995.71,56967.09,57041.93,57089.54,57137.73,57041.06,56989.43,56957.24
6,58625.52,58755.43,58802.73,58841.74,58856.52,58890.96,58956.11,58957.59,58951.61,59022.06,59079.53,59155.73,59174.72,59192.87,59256.86,59115.97,59183.46,59045.47,59061.08,59130.81,59136.5,59159.41,59144.47,59282.15,59316.16,59328.21
7,18229.36,18240.27,18222.85,18189.63,18158.78,18148.98,18152.45,18097.24,18014.13,18002.35,18000.1,18015.4,18001.9,18013.12,18035.37,18023.33,18010.41,18264.57,18360.08,18355.26,18262.87,18272.02,18219.48,18079.64,18001.57,17999.7
