Severity,Structural Class,Total burned (ha),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Low,Closed-Medium,7729.2,0,51.66,1.26,0,0,0,0,0,0,2628.9,0,0,0,75.51,0,0,743.04,371.16,2285.82,596.7,0.18,94.14,390.33,451.89,38.61,0
Low,Closed-Big,1597.05,0,7.02,0.09,0,0,0,0,0,0,582.39,0,0,0,5.22,0,0,28.08,62.64,345.87,45.72,0,83.52,218.97,215.91,1.62,0
Low,Closed-Small,3122.64,0.54,10.26,1.35,0,0,0,0,0,0,984.96,0,0,0,56.97,0,0,441.45,116.55,827.46,458.91,0.99,68.94,58.23,86.67,9.36,0
Low,Open-Big,394.74,0,0,0,0,0,0,0,0,0,101.88,0,0,0,1.62,0,0,35.46,10.98,81.99,70.02,0.09,5.67,51.21,35.28,0.54,0
Low,Open-Medium,990.63,0,5.94,0.27,0,0,0,0,0,0,162.81,0,0,0,14.94,0,0,137.07,71.37,404.73,85.5,0.81,20.16,54.27,29.7,3.06,0
Low,Open-Small,1072.44,0.09,2.61,0,0,0,0,0,0,0,122.76,0,0,0,22.5,0,0,153.9,51.03,464.76,109.53,0,19.62,84.51,35.28,5.85,0
Low,Sparse,1054.71,0,7.02,0,0,0,0,0,0,0,302.31,0,0,0,26.28,0,0,176.49,18.54,212.22,144.99,0,4.5,150.03,6.12,6.21,0
Mod,Closed-Medium,7671.24,0,29.52,0,0,0,0,0,0,0,1777.95,0,0,0,185.13,0,0,583.65,691.74,2567.52,879.12,0.18,181.8,486.72,236.52,51.39,0
Mod,Closed-Big,1134.36,0,4.5,0,0,0,0,0,0,0,234.63,0,0,0,23.94,0,0,28.53,86.49,363.15,105.84,0,42.48,172.44,70.38,1.98,0
Mod,Closed-Small,3335.94,0,12.96,0,0,0,0,0,0,0,670.68,0,0,0,124.92,0,0,338.22,143.46,1144.08,640.8,0.09,116.64,92.88,33.21,18,0
Mod,Open-Big,588.24,0,0,0,0,0,0,0,0,0,92.16,0,0,0,7.74,0,0,24.3,20.25,76.14,242.28,0,27.27,83.88,13.86,0.36,0
Mod,Open-Medium,865.53,0,2.88,0,0,0,0,0,0,0,117.27,0,0,0,31.14,0,0,77.49,89.46,292.68,125.37,0.18,42.21,65.7,15.48,5.67,0
Mod,Open-Small,872.37,0,1.71,0,0,0,0,0,0,0,110.61,0,0,0,37.8,0,0,62.46,61.74,321.48,125.46,0,72.45,68.31,3.33,7.02,0
Mod,Sparse,816.3,0,5.76,0,0,0,0,0,0,0,178.92,0,0,0,23.58,0,0,65.07,12.78,145.53,236.07,0,12.15,124.29,4.14,8.01,0
High,Closed-Medium,10179.18,0,22.05,0,0,0,0,0,0,0,1972.35,0,0,0,862.65,0,0,456.66,71.01,4523.22,1941.84,0,198.36,52.29,43.29,35.46,0
High,Closed-Big,2105.28,0,1.71,0,0,0,0,0,0,0,266.85,0,0,0,56.43,0,0,14.58,12.78,1511.01,174.33,0,30.69,25.38,10.35,1.17,0
High,Closed-Small,4785.84,0,4.23,0,0,0,0,0,0,0,1058.22,0,0,0,345.06,0,0,192.69,11.43,1990.8,1038.24,0,124.38,4.59,5.04,11.16,0
High,Open-Big,641.52,0,0,0,0,0,0,0,0,0,109.35,0,0,0,23.49,0,0,11.52,5.13,128.79,329.04,0,23.76,7.83,2.43,0.18,0
High,Open-Medium,737.01,0,0.45,0,0,0,0,0,0,0,67.14,0,0,0,40.41,0,0,16.83,12.06,377.73,166.05,0,49.77,3.78,0.99,1.8,0
High,Open-Small,1186.65,0,1.44,0,0,0,0,0,0,0,118.98,0,0,0,20.79,0,0,27.99,6.03,783.54,157.14,0,61.29,5.94,0.63,2.88,0
High,Sparse,763.38,0,0.18,0,0,0,0,0,0,0,165.69,0,0,0,23.67,0,0,23.76,0.54,199.71,323.1,0,18.63,4.68,1.17,2.25,0
