Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,25249.19,25034.98,24997.74,25103.74,25151.7,25116.88,24947.2,24780.34,24700.44,24487.86,24603.66,25326.43,24962.54,24622.9,24467.14,24759.14,24524.71,24544.63,24759.48,26975.47,29588.36,29269.78,28802.57,28997.48,28878.53,28714.97
2,25740.13,25617.11,25784.86,25909.12,26002.5,26141.74,26214.92,26362.67,26424.15,26264.82,26030.82,25708.25,25522.37,25495.04,25537.87,25731.55,25546.76,25549.35,25182.3,25838.76,26792.21,26820.09,27199.75,27011.23,27159.03,27542.07
3,19247.32,19205.6,19200.06,19230.77,19246.43,19244.37,19218.15,19196.68,19179.04,19131.94,19135.4,19333.82,19268.35,19207.01,19162.06,19057.89,18997.32,19037.87,19062.91,19365.66,19981.22,20054.33,20101.35,20270.89,20289.1,20240.51
4,18176.16,18218.6,18272.84,18291.9,18285.29,18290.36,18361.08,18478.79,18551.13,18536.43,18584.81,18738.38,18640.09,18564.95,18560.92,18847.44,18787.8,18557.38,18688.54,18304.25,18429.66,18364.12,18558.34,18569.58,18676.83,18590.17
5,50633.48,50589.45,50614.42,50710.21,50715.96,50756.47,50880.88,51005.44,51077.07,51086.01,50958.65,50742.1,50722.51,50891.95,51551.98,51289.98,51195.61,51345.49,50651.75,49905.12,50465.64,50857.07,52029.52,52247.46,52293.33,52379.73
6,168575.86,168849.79,168749.13,168572.49,168589.34,168644.78,168697,168705.53,168799.34,169188.68,169468.08,169031.58,169626.15,169894.22,168727.72,167591.13,168103.67,167906.5,168354.53,167100.77,162863.28,162664.38,161414.85,161302.15,161813.25,161741.27
7,29309.87,29416.48,29312.95,29113.78,28940.79,28737.4,28612.79,28402.57,28200.84,28236.26,28150.59,28051.45,28190,28255.93,28924.31,29654.88,29776.14,29990.78,30232.5,29441.99,28811.63,28902.24,28825.64,28533.22,27821.94,27723.28
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,14732.97,14681.53,14683.06,14717.53,14739.29,14736.02,14694.31,14665.35,14632.6,14558.55,14548.04,14832.35,14740.88,14643.73,14536.24,14415.6,14331.98,14382.68,14473.17,14927.55,15859.93,15940.95,15926.52,16156.4,16172.73,16107.62
2,10604.76,10571.77,10613.86,10652.2,10674.44,10712.21,10743.15,10791.39,10815.06,10780.14,10713.59,10601.18,10556.98,10571,10655.99,10688.72,10639.48,10651.38,10488.47,10570.93,10833.74,10862.89,11058.77,11016.97,11054.85,11161.45
3,15331.13,15301.69,15305.05,15328.79,15346.59,15347.22,15321.76,15307.94,15283.68,15232.94,15215.82,15431.75,15379.52,15316.06,15211.7,15047.77,14990.59,15038.44,15110.97,15332.54,15958.81,16086.35,16123.22,16344.86,16381.47,16330.19
4,10629.22,10640.1,10634.31,10633.78,10630.84,10634.33,10652.41,10665.45,10679.34,10705.35,10709.32,10649.32,10679.66,10718.48,10767.39,10707.84,10726.94,10731.86,10662.39,10491.24,10315.45,10335.47,10417.35,10419.18,10434.92,10438.39
5,17348.88,17315.93,17350.16,17393.34,17417.42,17444.28,17462.49,17501.57,17503.33,17449.62,17370.65,17429.75,17378.96,17366.85,17404.63,17252.28,17177.49,17240.69,17136.27,17116.35,17643.03,17860.72,18175.1,18354.04,18417.97,18456.31
6,16484.14,16468.11,16469.25,16480.1,16498.4,16500.19,16470.54,16451.88,16427.53,16389.78,16387.08,16586.76,16557.54,16494.76,16306.31,16130.1,16098.03,16126.22,16258.3,16475.67,16900.74,16996.41,16920.02,17116.01,17167.47,17115.46
7,4210.6,4209.62,4207.77,4214.06,4211.51,4212.62,4225.47,4235.6,4243.8,4251.81,4246.26,4215.74,4220.15,4242.56,4320.04,4302.65,4300.55,4312.24,4240.01,4144.72,4151.57,4176.91,4284.87,4294.94,4292.94,4296.51
