Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,21426.8,21242.55,21219.2,21260.18,21281.66,21196.76,21034.43,20862.78,20781.27,20575.16,20343.88,20068.34,19835.19,19653.3,19553.78,19233.18,19100.92,19123.13,18914.63,18855.92,18961.52,18954.15,19045.96,19420.07,19484.37,19589.2
2,21901.45,21804.42,21937.33,22080.95,22154.72,22236.47,22257.04,22350.98,22409.74,22278.91,22096.85,21846.64,21637.77,21524.55,21470.17,21581.67,21332.34,21195.14,20626.14,20471.37,20482.25,20318.22,20452.01,20088.7,19987.9,19904.33
3,16425.84,16390.74,16386.8,16401.77,16413.65,16403.24,16377.47,16351.69,16331.16,16284.25,16221.16,16153.03,16087.68,16041.67,16011.04,15804.34,15764.75,15811.6,15747.4,15733.57,15815.61,15854.99,15940.61,16082.37,16097.07,16134
4,14791.13,14822.34,14863.04,14865.15,14857.53,14850.92,14890.52,14967.05,15012.72,15013.65,14979.48,14926.13,14864.24,14830.27,14813.33,15126.1,15074.45,14833.39,14809.49,14606.16,14639.47,14500.97,14571.09,14592.49,14702.05,14659.91
5,42923.33,42885.51,42906.65,42992.32,43016.32,43068.19,43175.9,43285.25,43329.48,43340.74,43312.11,43286.71,43222.76,43255.24,43698.09,43542.43,43411.56,43438.07,42858.56,42533.62,43125.55,43319.23,44048.55,44100.95,43960.19,43861.92
6,143723.11,144001.32,143976.68,143882.44,143948.96,144088.55,144256.7,144323.89,144407.76,144736.1,145165.82,145673.43,146146.25,146399.59,145604.76,145330.19,145826.93,145929.78,147117.13,147501.46,146753.18,146689.23,145590.19,145522.24,145976.86,146031.72
7,24512.17,24556.95,24414.13,24221.02,24030.98,23859.72,23711.78,23562.19,23431.69,23475.02,23584.53,23749.55,23909.94,23999.21,24552.64,25085.91,25192.88,25372.72,25630.48,26001.72,25926.25,26067.04,26055.43,25897,25495.37,25522.76
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,12642.44,12598.49,12597.13,12612.02,12625.14,12607.27,12561.65,12524.94,12492.35,12421.61,12327.51,12226.82,12134.19,12064.95,11992.84,11732.06,11678.19,11741.25,11686.46,11700.83,11766.24,11804.06,11877.18,12039.54,12052.27,12108.1
2,8997.65,8971.29,9005.4,9048.28,9068.05,9093.48,9110.43,9144.68,9164.97,9137,9094.67,9036.95,8985.85,8966.35,9005.35,9033.07,8965.33,8931.59,8742.87,8670.14,8734.06,8717.03,8824.16,8744.03,8706.49,8673.47
3,13159.47,13134.66,13134.89,13145.64,13157.97,13149.42,13120.51,13099.62,13075.12,13025.87,12956.43,12885,12817.39,12766.58,12695.58,12457.73,12420.9,12482.81,12457.22,12478.47,12528.73,12566.83,12621.7,12754.89,12768.25,12815.76
4,9020.44,9031.3,9029.46,9031.67,9034.05,9044.65,9067.06,9082.78,9092.89,9115.93,9141.89,9173.27,9197.25,9220.24,9254.61,9251.67,9265.82,9268.42,9260.16,9235.88,9273.21,9294.16,9332.84,9329.78,9330.89,9316.72
5,14842.18,14814.23,14837.63,14875.24,14895.71,14910.77,14912.83,14934.87,14932.59,14884.31,14806.55,14720.16,14634.96,14589.57,14604.1,14428.53,14347.07,14380.93,14200,14151.44,14283.18,14323.76,14501.67,14554.27,14520.73,14529.43
6,14159.03,14147.13,14147.24,14149.96,14163.08,14157.44,14128.64,14105.46,14082.76,14044.83,13993.24,13941.59,13895.9,13852.77,13722.74,13500.79,13489.86,13548.61,13603.85,13661.29,13636.16,13652.53,13610.43,13723.73,13760.94,13814.55
7,3554.71,3553.75,3552.85,3558.32,3558.57,3562.73,3575.57,3585.98,3591.21,3598.66,3604.75,3612.77,3615.66,3625.54,3679.76,3679.45,3674.14,3674.55,3626.48,3592.26,3651.92,3673.22,3744.13,3748.21,3735.16,3722.63
