Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,146118.44,143695.24,142286.16,141324.88,140724.48,140529.22,138415.87,137683.23,138148,137498.88,136831.98,137028.19,135782.74,135657.02,136172.62,136761.24,137559.79,139489.76,147651.08,148860.04,148413.88,146454.87,146489.14,148340.06,147719.97,146416.63
2,224814.82,223534.47,223268.53,223732.67,224242.46,224611.36,224718.22,225596.01,226340.39,226101.34,225599.42,224754.93,224481.92,224274.32,224128.02,223948,224362.24,224284.77,223088.55,224836.6,227245.44,228925.4,230722.04,231599.46,233702.49,235389.03
3,268187.14,269074.49,269854.2,270785.08,271484.61,272560.12,273301.2,274034.46,274804.79,274669.15,274470.68,274269.82,273212.1,272732.12,272164.45,270675.97,270204.51,269907.82,270384.66,270598.18,270584.58,270642.39,269587.19,269587.13,268786.91,268037.24
4,57689.75,57552.67,57459.58,57356.46,57269.24,57163.07,57020.33,56952.45,56971.25,56950.58,56948.67,57008.15,57040.89,57126.68,57247.9,57509.63,57617.79,57448.89,57819.12,57864.37,57903.13,57692.21,57778.02,58019.89,58087.63,57996.91
5,437949.64,437891.3,438717.84,440054.01,441015.96,441539.54,442134.84,443200.79,444306.36,444191.32,444259.82,444502.36,445598.77,445901.91,443670.22,443761.64,443387.89,441729.73,441124.45,441845.71,443650.86,444876.92,446448.49,444601.98,445184.42,445157.76
6,729465.22,732165.69,732401.09,731165.36,730163.13,728865.49,729799.98,728875.8,727303.35,728931.07,730679.56,731506.53,733431.17,734605.94,736861.11,737289.19,737107.89,732863.32,725272.29,722760.9,720559.71,719797.21,718213.48,718939.45,718573.68,719077.33
7,128075.56,128386.81,128313.27,127882.21,127400.78,127031.88,126910.2,125957.93,124426.53,123958.32,123510.52,123230.68,122753.06,122002.66,122056.33,122354.99,122060.54,126576.38,126960.51,125534.87,123943.06,123911.66,123062.29,121212.68,120245.57,120225.75
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,31363.88,31160.06,31075.9,31047.07,31027.45,31069.46,30902.68,30886.49,31008.72,30912.14,30820.57,30839.44,30640.54,30613.15,30631.68,30684.06,30751.06,30850.04,31824.4,31971.24,31956.18,31685.19,31636.77,31887,31783.5,31538.07
2,37316.81,37196.35,37183.73,37247.5,37312.16,37343.08,37380.53,37491.07,37573.54,37563.82,37529.31,37445.38,37474.38,37474.04,37435.15,37431.66,37468.76,37379.61,37103.23,37288.46,37588.9,37816.67,38056.98,38124.66,38398.51,38623.97
3,46388.43,46539.21,46660.45,46796.4,46898.46,47057.01,47177.41,47286.16,47397.8,47383.42,47361.54,47336.68,47189.25,47122.98,47038.95,46817.33,46740.77,46674.64,46710.86,46727.31,46709.77,46713.98,46543.2,46534.38,46402.49,46284.36
4,24318.61,24270.04,24244.28,24213.62,24182.3,24140.83,24094.48,24076.84,24093.9,24079.14,24075.69,24101.3,24115.92,24155.56,24202.11,24333.81,24378.7,24273.61,24430.4,24450.91,24485.49,24383.68,24425.16,24541.17,24579.01,24526.69
5,46090.04,45940.22,45961.95,46102.34,46220.99,46367.22,46370.44,46519.69,46718.35,46633.53,46531.63,46461.25,46315.49,46251.78,46100.59,45998.77,46006.55,46038.11,46418.16,46663.3,46906.15,46987.19,47100.95,47177.14,47262.21,47250.42
6,49095.84,49164.22,49206.68,49250.48,49284.51,49353.43,49412.57,49474.64,49546.71,49544.72,49530.88,49501.71,49393.62,49374.2,49433.22,49358.27,49358.46,49210.24,49185.75,49226.98,49261.27,49225.27,49142.65,49312.19,49315.4,49278.45
7,17893.67,17926.69,17976.5,18051.53,18106,18199.73,18245.48,18293.45,18330.93,18280.67,18218.83,18166.42,18026.62,17942.79,17884.9,17766.56,17729.95,17915.39,18035.58,18057.55,18059.71,18091.79,18015.26,17977.32,17919.23,17880.34
