Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,130408.2,128204.73,126854.69,125744.97,124837.02,123511.2,121518.15,120904.7,121338.12,119756.73,118506.53,116714.85,115652.67,115982.95,116686.76,116887.64,117413.85,118839.67,118221.33,117984.73,117578.81,116878.92,116829.99,117792.05,117714.5,117132.22
2,206345.21,205211.61,204978.72,205477.98,206016.87,206385.89,206378.66,207102.05,207731.86,207572.27,207070.44,206204.39,205752.53,205316.19,204997.41,204697.11,205015.46,204498.42,204867.42,205515,206344.4,207237.94,208314.91,208908.85,210050,210823.49
3,245222.05,245970.66,246632.59,247412.64,248070.3,249038.14,249734.3,250422.34,251157.69,251284.16,251077.33,250555.56,249452.36,248998.01,248544.21,247144.61,246693.62,246228.88,246526.32,246439.03,246481.24,246467.67,245882.24,245954.21,245327.9,244982.83
4,51859.47,51741.84,51660.73,51558.8,51457.08,51311.92,51168.01,51094.3,51101.88,51019.02,50968.92,50909.67,50948.58,51051.1,51173.38,51412.63,51502.69,51372.01,51296.66,51307.63,51335.67,51173.22,51198.18,51327.64,51389.63,51336.82
5,399746.51,399584.46,400182.92,401305.85,402117.82,402742.42,403206.98,404128.27,405109.27,405046.59,405204.97,405148.25,405810.17,405912.15,403512.86,403380.31,402934.15,401002.24,400774.87,400949.98,402053.9,402529.71,403580.54,402366.52,402439.81,402057.83
6,658621.59,661273.57,661846.42,661105.96,660613.26,660451.89,661561.16,660765.61,659332.09,661408.33,663402.14,666644.91,668883.71,669771.55,672062.26,673144.64,673294.11,670263.77,669019.3,668936.76,668805.72,668338.47,667501.54,668507.49,668473.04,668926.76
7,117316.8,117533.06,117363.85,116913.72,116407.58,116078.47,115952.68,115102.65,113749.02,113432.82,113289.6,113342.29,113019.9,112488,112543.05,112852.98,112666.05,117314.94,118814.03,118386.79,116920.18,116894.01,116212.53,114663.17,114125.06,114259.97
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,28205.47,28020.18,27933.66,27877.14,27820.18,27743,27587.5,27575.91,27686.69,27523.78,27371.3,27137.63,26951.25,26968.04,27003.91,27008.95,27040.46,27089.16,27071.36,27047.33,27025.79,26880.71,26827.35,26934.14,26888.54,26775.35
2,34148.8,34040.48,34030.49,34101.89,34174.75,34226.46,34249.12,34340.89,34410.51,34417.11,34389.39,34334.85,34336.67,34300.2,34236.11,34222.2,34251.63,34122.38,34148.43,34227.67,34345.44,34459.92,34604.48,34652.35,34794.19,34890.04
3,42364.46,42493.77,42599.58,42717.08,42816.83,42967.62,43083.9,43188.5,43297.42,43326.87,43305.68,43244.07,43090.97,43026.38,42958.33,42753.27,42681.51,42595.73,42635.13,42619.06,42623.38,42620.22,42527.1,42529.7,42430.24,42378.37
4,21839.17,21797.21,21774.09,21742.35,21705.07,21652.97,21605.47,21582.51,21591.56,21561.41,21541.81,21519.4,21537.28,21579.88,21623.64,21741.87,21777.63,21694.91,21677.91,21686.42,21706.48,21622.59,21630.68,21681.07,21709.57,21684.04
5,42155.04,42012.09,42016.97,42128.59,42223.42,42310.2,42303.55,42437.25,42617.16,42529.76,42408.6,42192,42019.02,41952.58,41793.89,41656.3,41638.86,41579.15,41629.68,41666.76,41755.61,41800.69,41868.76,41888.9,41916.64,41897.83
6,44571.16,44635.16,44680.39,44725.03,44766.71,44837.74,44893.34,44948.32,45014.21,45040.45,45015.51,44967.61,44864.13,44839.33,44907.12,44844.18,44844.84,44707.52,44723.03,44738.4,44759.59,44718.74,44662.31,44774.95,44768.95,44764.02
7,16484.43,16506.26,16541.29,16599.96,16646.19,16719.64,16757.99,16802.39,16840.48,16813.87,16757.59,16661.83,16519.61,16445.78,16395.14,16277.05,16240.89,16401.38,16503.38,16492.31,16452.38,16464.49,16413.27,16372.88,16323.79,16310.68
