Severity,Structural Class,Total burned area (ha),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Low,Closed-Medium,2846.16,0.45,3.15,106.47,41.13,0,24.39,1.62,289.53,0,85.95,16.74,71.82,0,74.7,44.37,57.15,292.41,641.07,196.56,140.4,7.74,192.06,193.14,78.3,22.5,264.51
Low,Closed-Big,136.53,0.45,0.09,1.62,0.54,0,0,0.18,24.21,0,4.14,1.89,0.99,0,0,0.18,1.08,39.15,11.61,22.5,4.23,0,0.9,0.54,0.27,0.81,21.15
Low,Closed-Small,3078.9,3.42,2.25,65.07,75.78,0,38.88,8.37,221.04,0,138.06,19.44,91.53,0,171.54,22.05,28.8,198.09,829.17,183.87,365.04,5.13,128.7,152.73,119.52,53.37,157.05
Low,Open-Big,546.48,0,0.18,60.93,12.15,0,2.07,0.81,23.85,0,49.14,9.36,38.97,0,9.63,11.52,0.18,50.67,94.5,16.47,9.45,0.54,47.16,40.86,19.71,4.59,43.74
Low,Open-Medium,8409.51,4.86,0.27,586.35,121.86,0,94.86,4.32,674.28,0,130.68,63.63,781.47,0,120.06,68.04,13.59,731.07,2017.17,635.76,296.28,23.58,495.99,788.31,227.07,98.82,431.19
Low,Open-Small,5277.96,4.68,0.18,382.23,112.41,0,90.27,1.17,354.33,0,164.07,25.56,283.86,0,88.56,67.59,4.77,290.88,1224.27,265.68,230.85,6.84,529.2,396.9,406.17,100.35,247.14
Low,Sparse,5888.52,4.32,0.09,193.86,107.73,0,38.61,1.35,367.11,0,452.34,26.64,922.32,0,83.52,54.27,0.36,360,1712.88,201.33,155.97,2.07,308.34,337.14,247.14,116.28,194.85
Mod,Closed-Medium,4154.4,1.62,0.18,129.87,132.75,0,39.87,0.63,653.58,0,220.68,52.47,151.02,0,93.78,90.72,56.25,627.21,1103.67,248.85,150.39,34.74,174.87,64.17,45.81,10.08,71.19
Mod,Closed-Big,310.59,0.36,0,1.71,2.34,0,0.27,0,82.62,0,10.8,5.31,1.44,0,0.9,0.72,1.44,123.21,22.05,48.96,4.5,0.45,1.35,0.99,0,0.54,0.63
Mod,Closed-Small,3586.68,2.34,0,40.68,224.19,0,63.72,0.18,489.6,0,148.68,19.71,180.99,0,233.19,33.03,15.84,173.16,1381.86,141.75,78.21,21.15,93.33,58.23,82.62,11.43,92.79
Mod,Open-Big,551.7,0,0,53.91,42.12,0,2.7,0.09,42.3,0,42.75,0.54,50.4,0,3.33,4.41,0,45.99,141.21,24.93,39.24,0.63,34.56,8.55,11.97,0.81,1.26
Mod,Open-Medium,6501.15,1.89,0.27,351.09,135.36,0,120.69,1.98,1179.9,0,154.62,81.09,621.09,0,86.67,115.74,11.34,340.38,2124,297.81,184.23,72.54,267.12,109.08,86.67,22.32,135.27
Mod,Open-Small,4517.37,0.63,0,158.85,227.79,0,82.8,2.52,643.32,0,143.55,20.43,245.43,0,62.01,140.13,2.88,207.36,1591.74,175.59,94.23,24.03,227.43,73.08,176.13,18.36,199.08
Mod,Sparse,3585.42,1.53,0,117,175.95,0,42.48,0.9,300.24,0,210.78,6.84,222.57,0,50.31,45.81,0.18,264.24,1564.11,98.55,195.3,7.83,147.42,25.92,40.41,30.15,36.9
High,Closed-Medium,6111.45,1.08,0,434.07,198.36,0,97.02,0,760.5,0,651.33,74.16,96.66,0,74.43,67.23,4.41,826.65,1418.22,500.58,204.84,48.42,64.35,281.34,4.68,6.48,296.64
High,Closed-Big,422.73,0,0,3.33,2.25,0,0.18,0,89.82,0,25.92,3.06,2.61,0,3.51,0,0,133.65,59.4,77.67,15.57,0.18,0.09,1.26,0,1.8,2.43
High,Closed-Small,4796.37,0.63,0,135.63,290.07,0,79.74,0,521.19,0,294.12,20.43,149.49,0,103.32,22.95,2.43,185.04,2079.09,255.33,92.88,14.94,32.13,227.61,12.87,2.97,273.51
High,Open-Big,600.57,0,0,49.14,43.29,0,3.69,0,66.33,0,56.34,0.09,13.5,0,1.26,2.97,0,44.55,155.97,64.35,37.53,0.72,40.77,16.02,0.81,0.36,2.88
High,Open-Medium,7485.12,0.18,0,405,147.96,0,199.35,0,1156.68,0,286.65,76.23,293.13,0,34.47,59.94,0.36,336.87,2913.93,532.98,193.05,48.87,118.08,278.46,21.6,10.26,371.07
High,Open-Small,5080.23,0.09,0,330.75,208.62,0,114.75,0,541.89,0,126.27,20.34,110.7,0,21.78,90.99,0.09,257.13,2021.22,377.37,60.12,14.49,91.98,153.45,21.6,4.14,512.46
High,Sparse,2781.72,0.27,0,176.94,121.23,0,43.65,0,149.22,0,98.91,3.78,63,0,9.18,14.22,0,177.21,1480.05,132.48,114.57,6.48,91.08,72.18,7.02,2.16,18.09
