Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,161430.69,159758.14,159235.97,158651.21,159337.51,159555.01,158572.24,159900.97,159948.61,160341.54,159271.59,157675.94,156219.21,155332.2,154898.13,155091.49,154331.59,154184.31,158135.85,157349.53,155823.48,154387.27,153352.71,153242.55,152430.49,152319.49
2,305758.89,306284.22,307452.96,309556.62,310763.98,311491.51,312773.47,313208.8,314574.97,314404.69,314009.45,313271.63,312155.21,310493.77,307793.3,306063.46,305692.03,304385.35,301705.26,299932.8,300303.82,300402.46,299956.81,299281.07,299152.6,298222.58
3,339479.18,339746.45,339752.42,339472.15,339252.17,339387.39,339180.35,339372.28,339074.16,339035.18,339300.89,339893.42,340528.58,341074.02,342521.99,341085.45,340547.99,340129.59,340456.97,341824.63,341886.31,342444.9,342589.19,342495.9,341662.43,341581.43
4,33510.55,33618.04,33728.54,33782.67,33886.93,33856.88,33902.42,33842.45,33851.26,33756.5,33720.68,33644.9,33578.43,33968.29,33818.51,36157.2,36590.21,36909.59,37172.88,37042.72,36833.77,35526.79,35173.04,34174.32,34490.14,34325.85
5,193702.31,193855.81,193429.61,192743.76,192000.41,191510.75,191459.44,190583.6,190372.22,190656.39,191303.54,192253.86,193201.78,193486.23,193599.38,194207.52,193919.24,193951.51,193289.43,194016.69,194476.01,195095.99,195600.26,195360.42,195801.3,196062.07
6,204599.91,205279.47,204979.05,204427.3,203406.21,202839.31,202757.01,201769.45,200922.81,200592.22,201201.22,202033.24,203060.32,204360.31,206053.76,206141.58,207710.42,209246.46,208121.01,208724.32,209582.21,211078.85,212267.77,214380.74,215390.23,216393.76
7,4608.28,4547.67,4511.28,4456.11,4442.6,4448.96,4444.89,4412.26,4345.79,4303.28,4282.43,4316.82,4346.28,4375,4404.73,4343.09,4298.34,4283.01,4208.41,4199.11,4184.2,4153.55,4150.04,4154.81,4162.63,4184.63
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,34184.68,33886.4,33802.12,33709.86,33840.58,33892.25,33719.93,33976.68,33994.28,34065.02,33875.78,33598.33,33348.28,33195.48,33147.62,33119.58,32974.76,32924.24,33605.3,33496.61,33236.91,33005.66,32829.16,32800.52,32629.8,32598.69
2,32335.63,32395.95,32413.95,32465.15,32445.81,32427.92,32506.24,32424.94,32467.28,32458.46,32491.01,32528.53,32552.67,32519.85,32400.99,32424.08,32473.74,32495.09,32226.83,32171.07,32264.45,32354.53,32425.28,32474.08,32596.13,32633.17
3,43968.52,43860.11,43776.7,43648.72,43620.31,43608.85,43500.9,43564.71,43512.21,43547.78,43521.34,43497.3,43500.72,43521.87,43669.79,43566.06,43506.38,43522.21,43793.86,43891.99,43832.72,43874.9,43886.81,43969.48,43910.11,43961.81
4,14280.28,14228.53,14189.15,14129.14,14122.24,14089.97,14051.44,14037.31,14009.07,14007.73,13980.62,13936.33,13907.59,13967.75,13952.71,14386.09,14484.38,14598.83,14736.39,14686.1,14627.97,14413.65,14374.1,14306.4,14400.93,14431.99
5,36158.18,36140.93,36141,36153.02,36172.36,36184.48,36198.66,36218.13,36272.86,36307.14,36308.03,36308.29,36299.93,36226.65,36141.35,36077.07,35977.59,35888.3,35873.38,35890.5,35894.2,35916.97,35909,35826.83,35798.23,35770.15
6,35893.23,35967.79,36002.86,36046.8,36038.38,36054.25,36076.16,36090.53,36088.07,36058.63,36073.83,36090.38,36113.35,36160.42,36273.48,36116.81,36196.07,36241.17,36151.14,36203.82,36263.1,36392.52,36460.15,36608.15,36619.49,36661.97
7,6530.23,6454.22,6411.16,6346.81,6332.7,6343.85,6341.48,6306.01,6231.13,6181.24,6159.09,6200.77,6236.13,6269.95,6308.72,6224.91,6168.63,6142.57,6052.13,6050.16,6035.45,6003.75,5997.79,5993.4,5991.97,6010.49
