Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,35301.15,35071.18,34966.9,34989.82,35001.31,34985.27,34944.3,34840.05,34956.91,35038.77,35189.54,36009.73,35919.72,35722.14,35689.39,35254.35,35406.16,36414.18,37888.78,42343.14,45391.62,46124.83,51302.66,60048.03,59257.42,57140.73
2,69755.2,69713.1,69741.06,69790.59,69817.68,69804.15,69854.55,69933.22,69974.34,69929.55,69846.38,69529.36,69549.79,69659.57,69700.7,70447.21,69991.73,69886.36,69074.64,68276.53,67519.93,67497.98,66989.3,65038.24,66398.54,68109.97
3,27695.74,27639.28,27634.4,27697.78,27735.77,27715.27,27668.47,27637.45,27707.92,27734.58,27779.97,28066.42,28078.02,28082.38,28183.07,27381.17,27511.78,27923.64,28614.39,29843.93,30837.74,31567.49,32388.41,34254.73,34675.02,35116.64
4,8789.86,8811.38,8814.1,8803.46,8796.87,8798.74,8798.27,8804.47,8793.58,8788.36,8780.84,8731.67,8735.56,8736.29,8710.44,8689.88,8697.87,8595.79,8524.09,8186.78,7988.58,7904.42,7526.1,7004.94,6977.35,6985.82
5,108693.28,108897.45,109101.57,109372.24,109559.4,109636.6,109771.03,109878.14,110071.58,110198.03,110299.09,110118.87,110163.31,110335.08,111247.62,111431.72,111817.73,112371.58,111313.76,111351.56,110124.18,109725.46,110045.2,105815.93,103932.15,103784.87
6,131635.4,131782.07,131671.45,131335.55,131111.98,131081.64,130991.33,131029.75,130770.4,130602.72,130418.06,129813.02,129831.12,129711.37,128656.49,128326.81,128062.41,126194.54,125785.65,120985.53,119021.82,118058.02,112713.38,108461.18,109578.76,109885.07
7,7489.35,7475.49,7466.13,7424.19,7411.14,7428.6,7428.87,7355.43,7231.14,7221.24,7144.29,6956.37,6955.11,7003.98,7060.68,7278.21,7309.35,7354.89,7261.38,7407.72,7232.67,7167.42,7106.22,6841.62,6637.95,6498
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,14389.67,14367.52,14366.01,14393.05,14410.5,14409.95,14403.59,14391.61,14426.07,14447.63,14479.42,14617.04,14610.59,14595.23,14657.17,14463.37,14537.08,14750.05,15007.93,15904.6,16588.62,16815.69,18128.29,20717.1,20475.31,19873.77
2,25487.6,25482.11,25491.56,25502.48,25508.19,25504.51,25520.15,25547.41,25556.16,25539.81,25510.42,25391.15,25399.08,25434.26,25438.28,25674.19,25528.27,25463.91,25175.42,24831.22,24542.61,24529.38,24360.02,23742.45,24333.24,25053.45
3,13852.77,13852.68,13863.87,13896.71,13917.97,13917.1,13910.28,13907.25,13936.84,13952.29,13971.9,14043.93,14050.38,14060.5,14141.8,13901.41,13974.89,14114.94,14266.12,14688.19,15028.19,15255.32,15787.41,16999.46,16992.95,16913.01
4,10103.8,10127.83,10129.91,10116.11,10107.49,10109.32,10108.2,10115.04,10101.58,10094.93,10085.73,10029.13,10033.42,10033.44,9999.7,9975.63,9983.41,9863.44,9782.87,9392.5,9165.93,9069.17,8632.63,8039.28,8013.66,8023.2
5,22960.05,22949.89,22979,23039.75,23079.17,23084.05,23112.57,23136.09,23186.62,23201.26,23207.9,23185.72,23190.38,23233.15,23394.6,23587.96,23533.44,23720.03,23520.75,23920.68,24021.79,24115.83,24965.41,25872.34,25969.02,26086.41
6,21184.78,21172.41,21155.32,21125.24,21103.67,21093.92,21086.16,21094.79,21076.58,21051.4,21021.62,20954.46,20955.35,20951.17,20828.31,20890.86,20773.35,20617.31,20554.47,20244.42,20199.2,20215.06,20090.7,20426.48,20872.05,21163.57
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
