Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,25117.13,24981.75,24927.39,24939.71,24918.43,24836.92,24787.18,24735.47,24798.06,24779.24,24665.41,24543.69,24465.26,24399.66,24424.83,23966.63,24096.92,24399.07,24499.34,24544.97,24608.24,24845.45,24984.02,25355.13,25292.57,25391.6
2,49964.32,49959.97,50010.27,50058.32,50066.17,50077.41,50122.95,50189.13,50228.06,50205.76,50192.96,50171.29,50163.5,50176.28,50148.58,50763.07,50281.74,50187.65,49786.68,49741.26,49728.88,49519.27,49990.73,49889.22,50229.82,50504.7
3,19365.72,19326.03,19318.83,19336.17,19355.77,19333.87,19305.1,19295.34,19327.77,19319.6,19293.07,19265.85,19234.94,19220.02,19285.19,18581.85,18677.95,18819.91,18994.78,19018.06,19064.2,19430.18,19485.43,19663.39,19574.37,19667.27
4,5930.45,5942.38,5940.49,5934.38,5934.35,5940.56,5942.39,5945.91,5942.01,5944.73,5955.16,5966.91,5974.97,5977.14,5961.75,5955.22,5970.56,5939.49,5966.22,5960.14,5951.11,5933.89,5883.75,5865.5,5873.28,5843.23
5,73325.56,73418.83,73581.69,73735.24,73824.19,73838.91,73877.06,73908.64,73962.73,73999.5,73999.96,73984.84,73955.25,73949.34,74520.09,74618.53,74922.55,75252.17,74616.99,74538.08,74828.63,74701.83,74769.65,74482.47,73486.53,73514.34
6,90656.89,90756.93,90619.18,90435.53,90373.03,90449.83,90459.67,90513.72,90449.82,90456.84,90595.76,90761.74,90892.75,90917.43,90263.16,90175.69,90075.99,89371.26,90126.25,90065.61,89730.45,89507.44,88835.18,88790.33,89720.61,89330.65
7,5553.63,5546.97,5536.89,5507.1,5491.71,5488.74,5477.13,5399.64,5295.24,5295.78,5303.25,5313.87,5327.37,5375.88,5414.22,5590.26,5628.96,5689.08,5660.64,5790.78,5762.7,5740.47,5713.56,5569.11,5403.69,5322.78
,,,,,,,,,,,,,,,,,,,,,,,,,,
2*SE Error-adjusted areas (fuzzy),,,,,,,,,,,,,,,,,,,,,,,,,,
CLASS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
1,9935.16,9915.31,9913.49,9924.24,9929.24,9915.73,9905.16,9897.35,9912.87,9911.44,9893.39,9873.98,9857.98,9846.89,9890.44,9700.35,9761.75,9840.54,9859.7,9865.72,9896.51,9987.97,10004.97,10072.27,9995.41,10020.3
2,18189.25,18187.82,18203.99,18219.24,18221.18,18225.57,18241.75,18265.64,18279.03,18270.86,18267.05,18260.44,18258.72,18263.44,18246.87,18467.42,18292.32,18253.57,18118.48,18102.08,18094.51,18018.91,18181.5,18146.14,18280.2,18381.83
3,9491.19,9484.34,9489.23,9501.15,9511.92,9506.18,9498.29,9495.91,9507.78,9507.86,9501.05,9493.66,9483.52,9478.75,9529.3,9305.53,9364.82,9424.66,9452.11,9455.05,9484.82,9593.8,9599.6,9641.49,9556.76,9580.87
4,6826.3,6839.67,6836.38,6828.25,6827.64,6834.82,6836.78,6840.84,6836.08,6839.02,6851.2,6865.01,6874.62,6877.12,6855.45,6847.86,6863.74,6825.57,6859.83,6853,6840.83,6820.87,6762.15,6742.35,6757.79,6722.52
5,16268.52,16258.55,16292.09,16331.72,16344.2,16338.46,16351.12,16366.83,16391.2,16385.5,16365.44,16339.41,16321.15,16319.15,16402.07,16564.82,16457.77,16521.15,16309.95,16297.07,16343.25,16306.01,16503.82,16478.85,16441.28,16565.16
6,15071.84,15067.77,15057.11,15046.17,15038.44,15042.34,15047.86,15062.04,15065.79,15058.83,15061.99,15066.03,15072.37,15074.57,14992.47,15070.86,14953.53,14877.93,14894.69,14886.97,14847.29,14814.57,14864.49,14874.46,15063,15099.9
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
